Typ,Technologia,SpecGroup,Architektura,Spec,throughput
City,Java,B/S1:1.75,Monolit,Monolit,2.92594
City,Java,B/S1:1.75,Mikroserwisy,MSx1,2.998185
City,Java,B/S1:1.75,Mikroserwisy,MSx3,3.269815
City,Java,B/S1:1.75,Mikroserwisy,MSx6,3.317675
City,Java,B/S1:1.75,Mikroserwisy,MSx10,3.313735
City,Java,S2:3.5,Monolit,Monolit,3.632405
City,Java,S2:3.5,Mikroserwisy,MSx1,3.62845
City,Java,S2:3.5,Mikroserwisy,MSx3,3.774435
City,Java,S2:3.5,Mikroserwisy,MSx6,3.74104
City,.NET,S2:3.5,Mikroserwisy,MSx10,3.809635
City,Java,S4:7,Monolit,Monolit,3.66192
City,Java,S4:7,Mikroserwisy,MSx1,3.68076
City,.NET,S4:7,Mikroserwisy,MSx3,3.891125
City,Java,S4:7,Mikroserwisy,MSx6,3.822515
City,Java,S4:7,Mikroserwisy,MSx10,3.806025
City,Java,P4:14,Monolit,Monolit,3.50244
City,.NET,B/S1:1.75,Mikroserwisy,MSx6,3.62879
City,Java,P4:14,Mikroserwisy,MSx1,3.41039
City,.NET,P4:14,Mikroserwisy,MSx3,3.590215
City,.NET,P4:14,Mikroserwisy,MSx6,3.658665
City,.NET,P4:14,Mikroserwisy,MSx10,3.67709
City,.NET,P4:14,Mikroserwisy,MSx15,3.68477
City,.NET,P4:14,Mikroserwisy,MSx20,3.73468
City,.NET,S2:3.5,Monolit,Monolit,3.69218
City,.NET,S2:3.5,Mikroserwisy,MSx1,3.69754
City,Java,P4:14,Mikroserwisy,MSx10,3.70334
City,Java,P4:14,Mikroserwisy,MSx6,3.70991
City,Java,P4:14,Mikroserwisy,MSx3,3.6872
City,.NET,P4:14,Monolit,Monolit,3.53869
City,Java,P4:14,Mikroserwisy,MSx15,3.74121
City,.NET,S4:7,Mikroserwisy,MSx1,3.74545
City,.NET,S4:7,Monolit,Monolit,3.754275
City,Java,P4:14,Mikroserwisy,MSx20,3.757555
City,.NET,B/S1:1.75,Monolit,Monolit,3.556225
City,.NET,B/S1:1.75,Mikroserwisy,MSx10,3.78401
City,.NET,B/S1:1.75,Mikroserwisy,MSx1,3.60829
City,.NET,P4:14,Mikroserwisy,MSx1,3.539325
City,.NET,S4:7,Mikroserwisy,MSx10,3.8099
City,Java,S4:7,Mikroserwisy,MSx3,3.81562
City,.NET,B/S1:1.75,Mikroserwisy,MSx3,3.62275
City,.NET,S2:3.5,Mikroserwisy,MSx6,3.825685
City,.NET,S2:3.5,Mikroserwisy,MSx3,3.82884
City,Java,S2:3.5,Mikroserwisy,MSx10,3.628085
City,.NET,S4:7,Mikroserwisy,MSx6,3.89772
Route,Java,B/S1:1.75,Monolit,Monolit,0.050225
Route,Java,B/S1:1.75,Mikroserwisy,MSx1,0.02851
Route,Java,S2:3.5,Monolit,Monolit,0.073255
Route,Java,S2:3.5,Mikroserwisy,MSx1,0.085795
Route,Java,B/S1:1.75,Mikroserwisy,MSx3,0.070765
Route,Java,S4:7,Monolit,Monolit,0.18454
Route,Java,S4:7,Mikroserwisy,MSx1,0.176485
Route,Java,B/S1:1.75,Mikroserwisy,MSx6,0.14357
Route,Java,S2:3.5,Mikroserwisy,MSx3,0.18716
Route,Java,P4:14,Monolit,Monolit,0.386555
Route,Java,P4:14,Mikroserwisy,MSx1,0.389055
Route,Java,B/S1:1.75,Mikroserwisy,MSx10,0.172335
Route,Java,S2:3.5,Mikroserwisy,MSx6,0.264275
Route,Java,S4:7,Mikroserwisy,MSx3,0.25539
Route,Java,S2:3.5,Mikroserwisy,MSx10,0.290245
Route,Java,S4:7,Mikroserwisy,MSx6,0.285305
Route,Java,P4:14,Mikroserwisy,MSx3,0.46307
Route,Java,S4:7,Mikroserwisy,MSx10,0.295155
Route,Java,P4:14,Mikroserwisy,MSx6,0.513125
Route,Java,P4:14,Mikroserwisy,MSx10,0.52378
Route,Java,P4:14,Mikroserwisy,MSx15,0.51112
Route,Java,P4:14,Mikroserwisy,MSx20,0.47077
Route,.NET,B/S1:1.75,Monolit,Monolit,0.03354
Route,.NET,B/S1:1.75,Mikroserwisy,MSx1,0.031165
Route,.NET,S2:3.5,Monolit,Monolit,0.06894
Route,.NET,S2:3.5,Mikroserwisy,MSx1,0.076865
Route,.NET,B/S1:1.75,Mikroserwisy,MSx3,0.070055
Route,.NET,S4:7,Monolit,Monolit,0.136195
Route,.NET,S4:7,Mikroserwisy,MSx1,0.13149
Route,.NET,S2:3.5,Mikroserwisy,MSx3,0.17085
Route,.NET,B/S1:1.75,Mikroserwisy,MSx6,0.117665
Route,.NET,P4:14,Monolit,Monolit,0.321815
Route,.NET,P4:14,Mikroserwisy,MSx1,0.317795
Route,.NET,B/S1:1.75,Mikroserwisy,MSx10,0.142055
Route,.NET,S4:7,Mikroserwisy,MSx3,0.234795
Route,.NET,S2:3.5,Mikroserwisy,MSx6,0.2425
Route,.NET,S2:3.5,Mikroserwisy,MSx10,0.260135
Route,.NET,P4:14,Mikroserwisy,MSx3,0.377505
Route,.NET,S4:7,Mikroserwisy,MSx6,0.241785
Route,.NET,S4:7,Mikroserwisy,MSx10,0.26944
Route,.NET,P4:14,Mikroserwisy,MSx6,0.380875
Route,.NET,P4:14,Mikroserwisy,MSx10,0.38423
Route,.NET,P4:14,Mikroserwisy,MSx15,0.40161
Route,.NET,P4:14,Mikroserwisy,MSx20,0.40098
