Type,Technology,SpecGroup,Architecture,Spec,Cost,Throughput,perfDiff,costDiff
City,.NET,S2:3.5,Microservices,MSx1,5.4,3.69754,2.473470813,125
City,.NET,S2:3.5,Microservices,MSx3,15,3.82884,5.688772341,150
City,.NET,S2:3.5,Microservices,MSx6,29.4,3.825685,5.425913321,96
City,.NET,S2:3.5,Microservices,MSx10,48.6,3.809635,0.677191656,97.56097561
City,.NET,S4:7,Microservices,MSx1,10.2,3.74545,1.295726348,88.88888889
City,.NET,S4:7,Microservices,MSx3,29.4,3.891125,1.626732901,96
City,.NET,S4:7,Microservices,MSx6,58.2,3.89772,1.882930769,97.95918367
City,.NET,S4:7,Microservices,MSx10,96.6,3.8099,0.006956047,98.7654321
City,.NET,P4:14,Microservices,MSx1,19.8,3.539325,-5.503344057,94.11764706
City,.NET,P4:14,Microservices,MSx3,58.2,3.590215,-7.733239102,97.95918367
City,.NET,P4:14,Microservices,MSx6,115.8,3.658665,-6.133200948,98.96907216
City,.NET,P4:14,Microservices,MSx10,192.6,3.67709,-3.485918266,99.37888199
City,Java,S2:3.5,Microservices,MSx1,5.4,3.62845,21.02155137,125
City,Java,S2:3.5,Microservices,MSx3,15,3.774435,15.43267738,150
City,Java,S2:3.5,Microservices,MSx6,29.4,3.74104,12.7608943,96
City,Java,S2:3.5,Microservices,MSx10,48.6,3.628085,9.486274551,97.56097561
City,Java,S4:7,Microservices,MSx1,10.2,3.68076,1.441662418,88.88888889
City,Java,S4:7,Microservices,MSx3,29.4,3.81562,1.09115669,96
City,Java,S4:7,Microservices,MSx6,58.2,3.822515,2.177870325,97.95918367
City,Java,S4:7,Microservices,MSx10,96.6,3.806025,4.904515743,98.7654321
City,Java,P4:14,Microservices,MSx1,19.8,3.41039,-7.345493865,94.11764706
City,Java,P4:14,Microservices,MSx3,58.2,3.6872,-3.365639136,97.95918367
City,Java,P4:14,Microservices,MSx6,115.8,3.70991,-2.945835399,98.96907216
City,Java,P4:14,Microservices,MSx10,192.6,3.70334,-2.697959157,99.37888199
City,Java,S2:3.5,Monolith,Monolith,4.8,3.632405,24.14489019,166.6666667
City,Java,S4:7,Monolith,Monolith,9.6,3.66192,0.812547059,100
City,Java,P4:14,Monolith,Monolith,19.2,3.50244,-4.355092411,100
City,.NET,S2:3.5,Monolith,Monolith,4.8,3.69218,3.823014573,166.6666667
City,.NET,S4:7,Monolith,Monolith,9.6,3.754275,1.681797746,100
City,.NET,P4:14,Monolith,Monolith,19.2,3.53869,-5.742387012,100
Route,.NET,S2:3.5,Microservices,MSx1,5.4,0.076865,146.6388577,125
Route,.NET,S2:3.5,Microservices,MSx3,15,0.17085,143.8798087,150
Route,.NET,S2:3.5,Microservices,MSx6,29.4,0.2425,106.0935707,96
Route,.NET,S2:3.5,Microservices,MSx10,48.6,0.260135,83.12273415,97.56097561
Route,.NET,S4:7,Microservices,MSx1,10.2,0.13149,71.06615495,88.88888889
Route,.NET,S4:7,Microservices,MSx3,29.4,0.234795,37.42756804,96
Route,.NET,S4:7,Microservices,MSx6,58.2,0.241785,-0.294845361,97.95918367
Route,.NET,S4:7,Microservices,MSx10,96.6,0.26944,3.576988871,98.7654321
Route,.NET,P4:14,Microservices,MSx1,19.8,0.317795,141.6875808,94.11764706
Route,.NET,P4:14,Microservices,MSx3,58.2,0.377505,60.78068102,97.95918367
Route,.NET,P4:14,Microservices,MSx6,115.8,0.380875,57.5263147,98.96907216
Route,.NET,P4:14,Microservices,MSx10,192.6,0.38423,42.60317696,99.37888199
Route,Java,S2:3.5,Microservices,MSx1,5.4,0.085795,200.9294984,125
Route,Java,S2:3.5,Microservices,MSx3,15,0.18716,164.4810288,150
Route,Java,S2:3.5,Microservices,MSx6,29.4,0.264275,84.07397089,96
Route,Java,S2:3.5,Microservices,MSx10,48.6,0.290245,68.41906751,97.56097561
Route,Java,S4:7,Microservices,MSx1,10.2,0.176485,105.7054607,88.88888889
Route,Java,S4:7,Microservices,MSx3,29.4,0.25539,36.4554392,96
Route,Java,S4:7,Microservices,MSx6,58.2,0.285305,7.957619904,97.95918367
Route,Java,S4:7,Microservices,MSx10,96.6,0.295155,1.691674275,98.7654321
Route,Java,P4:14,Microservices,MSx1,19.8,0.389055,120.4464969,94.11764706
Route,Java,P4:14,Microservices,MSx3,58.2,0.46307,81.31876738,97.95918367
Route,Java,P4:14,Microservices,MSx6,115.8,0.513125,79.85138711,98.96907216
Route,Java,P4:14,Microservices,MSx10,192.6,0.52378,77.45930105,99.37888199
Route,Java,S2:3.5,Monolith,Monolith,4.8,0.073255,45.85365854,166.6666667
Route,Java,S4:7,Monolith,Monolith,9.6,0.18454,151.9145451,100
Route,Java,P4:14,Monolith,Monolith,19.2,0.386555,109.4694917,100
Route,.NET,S2:3.5,Monolith,Monolith,4.8,0.06894,105.5456172,166.6666667
Route,.NET,S4:7,Monolith,Monolith,9.6,0.136195,97.55584566,100
Route,.NET,P4:14,Monolith,Monolith,19.2,0.321815,136.2898785,100
