Tech,Monolit,Mikroserwisy HTTP,Mikroserwisy RPC
.NET,0.91309,0.90232,0.90985
.NET,0.91312,0.9024,0.91218
.NET,0.91418,0.90133,0.91203
.NET,0.91405,0.90136,0.91146
.NET,0.9145,0.90045,0.91176
.NET,0.91883,0.90045,0.91105
.NET,0.91841,0.90057,0.91041
.NET,0.91874,0.89992,0.91022
.NET,0.91798,0.89982,0.9101
.NET,0.91734,0.89925,0.90995
.NET,0.91597,0.89865,0.91097
.NET,0.91508,0.89817,0.91147
.NET,0.91529,0.89661,0.91224
.NET,0.91534,0.89612,0.91177
.NET,0.91497,0.89567,0.91166
.NET,0.91543,0.89495,0.91159
.NET,0.91581,0.8959,0.91173
.NET,0.91616,0.89705,0.91073
.NET,0.91797,0.89859,0.91071
.NET,0.91954,0.9002,0.91211
Java,0.95134,0.91404,0.90084
Java,0.96434,0.91353,0.8996
Java,0.95545,0.914,0.89892
Java,0.95395,0.91516,0.89833
Java,0.95232,0.91504,0.89905
Java,0.95246,0.91408,0.89953
Java,0.95336,0.91336,0.90011
Java,0.95615,0.91364,0.90097
Java,0.95684,0.91318,0.91084
Java,0.95822,0.91385,0.90199
Java,0.95857,0.91414,0.90319
Java,0.95761,0.9163,0.90435
Java,0.95987,0.91858,0.90547
Java,0.96136,0.92034,0.90572
Java,0.96398,0.92191,0.91217
Java,0.96547,0.92363,0.90973
Java,0.9675,0.92802,0.91004
Java,0.96979,0.92173,0.90046
Java,0.97002,0.92444,0.90983
Java,0.97169,0.923684,0.90237
